time,vpsat,mfvpd,gmin,gmin_mean
-51.97,3.5023920847666,0.00860115934372938,0,7.89279134688431
-24.13,3.58555453934448,0.00915760491384641,4.73757715459741,7.89279134688431
0,3.60661162595544,0.00956566934192504,15.6984219446488,7.89279134688431
23.18,3.62777621369572,0.00997816640309236,15.6662304390726,7.89279134688431
73.83,3.60661162595544,0.00921138529222411,5.17765402645515,7.89279134688431
125.4,3.44112675795921,0.0101408450627482,9.23838680979354,7.89279134688431
151.7,3.40080338569615,0.00935387964631556,4.90975593103689,7.89279134688431
173.7,3.34108970841208,0.00984604039807096,5.57600475490464,7.89279134688431
217.53,3.32138908682563,0.00880918520081453,3.12824110557219,7.89279134688431
245.77,3.34108970841208,0.0075486309718544,11.331947093968,7.89279134688431
314.1,3.05601387718826,0.0102067261124166,3.46369420879381,7.89279134688431
