time,vpsat,mfvpd,gmin,gmin_mean
0,2.10352535529141,0.00830338956036084,0,4.59547954088654
20,2.14341341635067,0.0086958658338788,5.71034314624697,4.59547954088654
40,2.1976265174587,0.00891580933618113,5.56947507431133,4.59547954088654
60,2.23907007378393,0.00932945864076637,5.32253582734078,4.59547954088654
80,2.32401308085321,0.00917373584547318,5.41288507774902,4.59547954088654
100,2.41176080808657,0.0100490033670274,4.94142314929506,4.59547954088654
120,2.41176080808657,0.0102076718412436,4.86461346303659,4.59547954088654
140,2.58017511762451,0.0115145972902761,3.59372662755556,4.59547954088654
160,3.60661162595544,0.0249140934687711,2.65747192059067,4.59547954088654
180,3.16739222244424,0.0201435031690533,3.28684158185292,4.59547954088654
