time,vpsat,mfvpd,gmin,gmin_mean
20,3.20529613825909,0.0161679502560357,0,5.27701684428045
40,3.16739222244424,0.0159767577424678,2.87188094857992,5.27701684428045
60,3.14858716098154,0.0158819024513571,4.33355005685254,5.27701684428045
80,3.12987946386527,0.0157875382792699,5.81260299978727,5.27701684428045
100,3.12987946386527,0.0154287305911047,7.43472476716975,5.27701684428045
120,3.11126870793437,0.0153369889305489,7.47919725124106,5.27701684428045
140,3.07433633416944,0.015154930914741,4.5414274507883,5.27701684428045
160,3.05601387718826,0.0143639308683616,3.19434468190978,5.27701684428045
180,3.05601387718826,0.0140135910910845,6.54840659791494,5.27701684428045
