time,vpsat,mfvpd,gmin,gmin_mean
-84.43,2.281195777701,0.0103079573452108,0,7.93028470576709
-54.33,2.33844085242025,0.00918837270106187,17.333748640015,7.93028470576709
0,2.26707750089944,0.00890796660471292,11.3206471612562,7.93028470576709
30,2.30966321443714,0.00975594481540244,14.039777121453,7.93028470576709
52.17,2.21136582126838,0.00977519272662842,9.48046820071965,7.93028470576709
75.67,2.18396196818704,0.00965405585151442,6.03742681453978,7.93028470576709
106.55,2.17037182970272,0.00980718115582762,9.04561407691749,7.93028470576709
133.67,2.14341341635067,0.00947481372650098,7.99577273995769,7.93028470576709
-84.58,2.281195777701,0.0103079573452108,5.17513411525981,7.93028470576709
-54.23,2.33844085242025,0.00918837270106187,7.3675570825764,7.93028470576709
0,2.26707750089944,0.00890796660471292,5.67076120478561,7.93028470576709
29.82,2.30966321443714,0.00975594481540244,4.7081747556851,7.93028470576709
51.68,2.21136582126838,0.00977519272662842,6.40994144586627,7.93028470576709
76.5,2.18396196818704,0.00965405585151442,5.71633884535394,7.93028470576709
106.55,2.17037182970272,0.00980718115582762,4.64772982853928,7.93028470576709
134.5,2.14341341635067,0.00947481372650098,5.17222079207282,7.93028470576709
-83.12,2.281195777701,0.0103079573452108,9.46432898152718,7.93028470576709
-53.62,2.33844085242025,0.00918837270106187,7.83250404648811,7.93028470576709
0,2.26707750089944,0.00890796660471292,7.02571038168625,7.93028470576709
30.57,2.30966321443714,0.00975594481540244,9.64459664869192,7.93028470576709
53.15,2.21136582126838,0.00977519272662842,3.10277502229045,7.93028470576709
77.67,2.18396196818704,0.00965405585151442,10.9939277026591,7.93028470576709
107.67,2.17037182970272,0.00980718115582762,6.9832140673803,7.93028470576709
137.67,2.14341341635067,0.00947481372650098,7.22817855692175,7.93028470576709
