time,vpsat,mfvpd,gmin,gmin_mean
0,3.22439584614933,0.0162642917838554,0,5.91482329289428
20,3.20529613825909,0.0161679502560357,16.2961199656359,5.91482329289428
40,3.16739222244424,0.0159767577424678,4.71175264571897,5.91482329289428
60,3.14858716098154,0.0158819024513571,4.7398937749206,5.91482329289428
80,3.12987946386527,0.0157875382792699,4.76822473722382,5.91482329289428
100,3.12987946386527,0.0154287305911047,4.87911368460116,5.91482329289428
120,3.11126870793437,0.0153369889305489,7.36244880634363,5.91482329289428
140,3.07433633416944,0.015154930914741,2.48363159774822,5.91482329289428
160,3.05601387718826,0.0143639308683616,2.62040145044465,5.91482329289428
180,3.05601387718826,0.0140135910910845,5.37182297341157,5.91482329289428
