time,vpsat,mfvpd,gmin,gmin_mean
0,2.10352535529141,0.00830338956036084,0,8.01126676486589
20,2.14341341635067,0.0086958658338788,12.5135418504687,8.01126676486589
40,2.1976265174587,0.00891580933618113,8.87625172811897,8.01126676486589
60,2.23907007378393,0.00932945864076637,8.48269670032602,8.01126676486589
80,2.32401308085321,0.00917373584547318,9.70502536055385,8.01126676486589
100,2.41176080808657,0.0100490033670274,7.87530515588506,8.01126676486589
120,2.41176080808657,0.0102076718412436,7.75289108610446,8.01126676486589
140,2.58017511762451,0.0115145972902761,7.73204105944065,8.01126676486589
160,3.60661162595544,0.0249140934687711,2.77941467592119,8.01126676486589
180,3.16739222244424,0.0201435031690533,6.38423326697408,8.01126676486589
