time,vpsat,mfvpd,gmin,gmin_mean
-51.97,3.5023920847666,0.00860115934372938,0,7.9598204918932
-24.13,3.58555453934448,0.00915760491384641,9.88252148765817,7.9598204918932
0,3.60661162595544,0.00956566934192504,10.9155648641885,7.9598204918932
23.18,3.62777621369572,0.00997816640309236,5.44659059165216,7.9598204918932
73.83,3.60661162595544,0.00921138529222411,5.40025792745649,7.9598204918932
125.4,3.44112675795921,0.0101408450627482,4.81778729822295,7.9598204918932
151.7,3.40080338569615,0.00935387964631556,15.3625261091138,7.9598204918932
173.7,3.34108970841208,0.00984604039807096,5.81573502736036,7.9598204918932
217.53,3.32138908682563,0.00880918520081453,6.52546838512011,7.9598204918932
245.77,3.34108970841208,0.0075486309718544,11.8191437309332,7.9598204918932
314.1,3.05601387718826,0.0102067261124166,3.61260949722631,7.9598204918932
